huggingface_ID,Type,parameters (B),open_llm_average,IFEval,BBH,MATH,GPQA,MUSR,MMLU-Pro,dataset,seed,final_layer_matrix_rank,final_layer_DSE,final_layer_VNE,matrix_rank_arr,DSE_arr,VNE_arr
allenai/OLMo-7B-hf,pretrained,7.0,6.86,27.19,5.76,1.21,3.02,2.08,1.92,squad,2,632,5.072035312652588,6.170872688293457,"[102 299 315 425 501 571 592 627 601 605 610 612 617 621 623 620 517 524
 525 536 543 556 560 553 551 549 550 551 555 564 593 623 632]","[4.5148196 4.4719186 5.0460095 5.065511  5.1438336 5.0694795 5.0069885
 4.6977415 4.6134734 4.7235374 4.7088723 4.6018934 4.603144  4.6695275
 4.671946  4.8557944 4.9965124 4.9693875 5.049625  5.0517387 5.133578
 5.068297  4.9656334 4.8260384 4.7324195 4.65853   4.618082  4.701822
 4.707082  4.9570947 5.191926  5.2335258 5.0720353]","[5.5099792 5.515042  6.416058  6.291117  6.232153  6.138465  6.048425
 5.592684  5.4562263 5.6158586 5.597749  5.4304514 5.4399843 5.5445795
 5.5484548 5.829399  6.0579247 6.024729  6.1290436 6.124808  6.223806
 6.077621  5.9495296 5.716404  5.563877  5.4423804 5.373346  5.493057
 5.5072665 5.8810086 6.2655234 6.3800573 6.1708727]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,wikipedia,0,686,5.261316299438477,6.332376480102539,[299 686 686 684 686 686 686 686 686 686 686 686 686 686 686 686 686],"[5.2763195 5.045201  5.592093  5.7685704 5.8815675 5.937476  5.8667474
 5.788122  5.7728453 5.771694  5.758749  5.7180037 5.713066  5.6493797
 5.561735  5.377939  5.2613163]","[6.688749  6.1583905 6.9990797 7.261158  7.41829   7.487229  7.366709
 7.2310863 7.2064896 7.1969337 7.1882567 7.125332  7.1114054 7.0101366
 6.8777    6.5707817 6.3323765]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,pubmed,0,571,5.003364562988281,5.960655212402344,[312 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571 571],"[5.4591966 5.0932984 5.5844727 5.757242  5.844886  5.900622  5.829405
 5.7032557 5.671057  5.6184106 5.5840054 5.5953736 5.490845  5.414606
 5.350602  5.17702   5.0033646]","[6.9632587 6.2472444 7.026455  7.270567  7.393849  7.4584074 7.350696
 7.14445   7.0950294 7.0089087 6.9629374 6.9842005 6.793585  6.6643214
 6.5625677 6.280907  5.960655 ]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,imdb,0,560,5.28186559677124,6.395333290100098,[298 560 560 560 560 560 560 560 560 560 560 560 560 560 560 560 560],"[5.3875184 5.143277  5.695568  5.8199515 5.914648  5.929455  5.8624096
 5.7606697 5.768829  5.760141  5.7602377 5.762438  5.7232733 5.674795
 5.597005  5.420617  5.2818656]","[6.868376  6.3484807 7.2161074 7.3961596 7.5314593 7.544769  7.437173
 7.2627916 7.276046  7.256624  7.267747  7.2674026 7.203471  7.1223264
 7.005049  6.7093263 6.3953333]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,squad,0,813,5.444062232971191,6.624494552612305,[170 646 679 562 639 717 799 813 813 813 813 813 813 813 813 813 813],"[5.1013293 4.8622236 5.301854  5.378917  5.4537797 5.423637  5.3959517
 5.4114146 5.4026213 5.454468  5.5662737 5.459495  5.3547482 5.487929
 5.4028263 5.2657723 5.444062 ]","[6.4866457 6.002053  6.690109  6.7798595 6.8441024 6.717155  6.631546
 6.6179433 6.5582414 6.5913606 6.7819166 6.6275644 6.4553013 6.702121
 6.585699  6.3756304 6.6244946]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,wikipedia,1,642,4.939108848571777,5.84813928604126,[300 642 642 642 642 642 642 642 642 642 642 642 642 642 642 642 642],"[5.326345  5.0295143 5.671405  5.8293    5.904903  5.927437  5.8306932
 5.7576857 5.715449  5.6859407 5.6738653 5.6694326 5.606932  5.482662
 5.331213  5.0963874 4.939109 ]","[6.7807145 6.1578674 7.1341004 7.3585796 7.460963  7.4784327 7.3237133
 7.203783  7.129799  7.083766  7.070369  7.066116  6.9545007 6.7540407
 6.517477  6.140014  5.8481393]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,pubmed,1,666,5.250197410583496,6.300413608551025,[372 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666 666],"[5.622382  5.3260064 5.7443104 5.9236917 5.96699   6.00412   5.915421
 5.8125796 5.733841  5.687906  5.6641674 5.710924  5.602958  5.564391
 5.5034833 5.354455  5.2501974]","[7.1984906 6.578478  7.239742  7.504485  7.555913  7.587478  7.4500227
 7.2781105 7.1569433 7.0757627 7.0472884 7.1322594 6.9367085 6.870576
 6.782021  6.5320697 6.3004136]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,imdb,1,573,5.224297046661377,6.271567344665527,[313 573 573 573 573 573 573 573 573 573 573 573 573 573 573 573 573],"[5.396603  5.1465783 5.751939  5.9126587 6.0125976 6.000978  5.906562
 5.809045  5.8411016 5.8221755 5.8156    5.8184443 5.78598   5.7223086
 5.618697  5.434022  5.224297 ]","[6.8455567 6.2996264 7.267168  7.508939  7.6645803 7.6374006 7.47959
 7.3139544 7.364449  7.3368382 7.3346996 7.337238  7.2753963 7.1671486
 7.0056953 6.693439  6.2715673]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,squad,1,863,5.887544631958008,7.291866779327393,[288 849 859 770 843 863 863 863 863 863 863 863 863 863 863 863 863],"[5.2935095 5.05014   5.58345   5.7505527 5.8532233 5.8576627 5.818532
 5.824474  5.8606653 5.939059  6.006459  5.957931  5.932836  6.000371
 5.931761  5.7885294 5.8875446]","[6.716743  6.1997013 7.0275    7.256577  7.371056  7.322154  7.242862
 7.2168813 7.247219  7.355264  7.473585  7.39728   7.3537593 7.491901
 7.381996  7.158155  7.291867 ]"
allenai/OLMoE-1B-7B-0924,pretrained,1.0,7.27,21.85,8.31,1.66,0.0,3.57,8.22,wikipedia,2,686,5.231851577758789,6.290743827819824,[308 686 686 686 686 686 686 686 686 686 686 686 686 686 686 686 686],"[5.393451  5.1331735 5.6164265 5.8432207 5.958004  5.9829135 5.896752
 5.8037286 5.7957487 5.784491  5.713125  5.662209  5.6767807 5.594868
 5.513584  5.339491  5.2318516]","[6.911513  6.305342  7.0487165 7.381139  7.5414734 7.5557804 7.4102426
 7.253087  7.2411556 7.2215586 7.121192  7.040935  7.0551147 6.9144425
 6.7955785 6.5127764 6.290744 ]"
